judul,teks,link-href,label
Penyelenggaraan Pemerintahan yang Tidak Transparan: Ciri dan Dampaknya,Penyelenggaraan pemerintahan yang tidak transparan punya dampak yang serius. Seperti apa ciri penyelenggaraan tersebut?Jakarta - Keterbukaan atau transparansi adalah tindakan yang memungkinkan suatu persoalan menjadi jelas mudah dipahami dan tidak disangsikan lagi kebenarannya.Dalam penyelenggaraan pemerintahan istilah ini memiliki arti sebagai kesediaan pemerintah untuk memberikan informasi faktual mengenai hal-hal yang berkenaan dengan proses penyelenggaraan pemerintahan.Kamu pernah dengar di media massa soal kepala daerah ditangkap Komisi Pemberantasan Korupsi? Nah permasalahan-permasalahan korupsi kolusi dan nepotisme (KKN) tersebut adalah dampak dari penyelenggaraan pemerintahan yang tidak transparan. Baca artikel detikedu,https://www.detik.com/edu/detikpedia/d-6373276/penyelenggaraan-pemerintahan-yang-tidak-transparan-ciri-dan-dampaknya.,1
"Sosialisasi Politik: Definisi, Cara Kerja, dan Sarana Penyampaiannya",Sosialisasi politik tentunya sangat penting dalam kehidupan sosial. Kenali pengertian hingga cara kerjanya. Sosialisasi Politik: Definisi Cara Kerja dan Sarana Penyampaiannya Jakarta - Sosialisasi politik adalah sebuah proses yang menunjukkan sikap-sikap politik atau tingkah laku politik diperoleh suatu masyarakat. Kegiatan sosialisasi politik dapat menjadi sarana sebuah generasi dalam menyampaikan keyakinan politik kepada generasi selanjutnya. Menurut Richard E. Dawson (1992) dalam buku Pendidikan Kewarganegaraan karya Rima dkk definisi dari sosialisasi politik adalah suatu pewarisan pengetahuan nilai-nilai dan pandangan-pandangan politik dari orangtua guru dan sarana-sarana sosialisasi yang lainnya kepada warga negara baru dan mereka yang menginjak dewasa. Sedangkan menurut Ramlan Surbakti (1992) sosialisasi politik merupakan proses pembentukan sikap dan orientasi politik anggota masyarakat. ,https://www.detik.com/edu/detikpedia/d-6338406/sosialisasi-politik-definisi-cara-kerja-dan-sarana-penyampaiannya,1
"Kekuasaan Kongsi Dagang VOC di Indonesia, Punya Pemerintahan Sendiri",Kekuasaan Kongsi Dagang VOC di Indonesia Punya Pemerintahan SendiriJakarta - Vereenigde Oostindische Compagnie (VOC) atau Perusahaan Hindia Timur didirikan pada 20 Maret 1602. Sebelum mundur pada 31 Desember 1799 VOC sempat memiliki kekuasaan di Hindia Timur atau Nusantara Asia dan Afrika. VOC semula dibentuk untuk menjaga keberhasilan para pedagang Belanda di nusantara agar tidak tersaingi oleh pedagang Eropa lainnya seperti Prancis Inggris maupun Swedia. Dengan demikian perdagangan dapat dimonopoli oleh Belanda seperti dikutip dari Encyclopaedia Britannica. Kongsi dagang VOC lantas dianggap penting dan diberikan sejumlah kekuasaan oleh pemerintah Belanda. Sebab keberhasilan VOC menjalankan imperialisme dagang di nusantara pemerintah turut membantu pemerintah Belanda mendanai perang kemerdekaan Belanda dari Spanyol. Sementara itu cara-cara VOC menguasai perdagangan dengan politik adu domba di berbagai wilayah turut menyingkirkan kekuatan politik kerajaan di Indonesia. Pada prosesnya VOC pun turut menjadi penguasa dan pelaku politik di nusantara. Alhasil kendati semula merupakan kongsi dagang ada beragam fasilitas dan hak istimewa sebagai bentuk dukungan pemerintah Belanda pada VOC dalam menjajah nusantara.,https://www.detik.com/edu/detikpedia/d-6329307/kekuasaan-kongsi-dagang-voc-di-indonesia-punya-pemerintahan-sendiri,1
Mahfud Posting Foto Hitam Putih: Pemerintah Sesalkan Tragedi Kanjuruhan,"(Menko Polhukam) Mahfud Md menyampaikan sikap pemerintah atas tragedi Kanjuruhan Malang yang menewaskan 127 orang usai laga Arema FC versus Persebaya. Mahfud Md menyampaikan sikap sembari mengunggah potret dirinya dengan tone warna hitam putih.Pernyataan itu disampaikan Mahfud Md lewat Instagram resminya seperti dilihat pada Minggu (2/10/2022). Mahfud Md menyatakan telah melakukan koordinasi dengan Kapolri Jenderal Listyo Sigit Prabowo dan Kapolda Jawa Timur Irjen Nico Afinta membahas tragedi Kanjuruhan.Saya sudah dapat informasi dari Kapolri Jenderal Listyo Sigit. Saya juga sudah berkordinasi dengan Kapolda Jatim Irjen Nico Afinta. Pemerintah menyesalkan atas kerusuhan di Kanjuruhan. Pemerintah akan menangani tragedi ini dengan baik"" kata Mahfud Md. Tulisan Mahfud Md sudah disesuaikan dengan ejaan baku.""",https://news.detik.com/berita/d-6323915/mahfud-posting-foto-hitam-putih-pemerintah-sesalkan-tragedi-kanjuruhan,1
Luhut Minta Pemerintahan-BUMN Tak Pakai Produk Impor untuk Goodie Bag,"Menko Marves Luhut Binsar Pandjaitan meminta kementerian/lembaga BUMN hingga pemerintah daerah (pemda) setop impor goodie bag untuk acara-acara yang digelar. Luhut mengajak semua pihak secara konsisten kita prioritaskan untuk produk dalam negeri utamanya UMKM dan koperasi..""",https://finance.detik.com/detiktv/d-6319824/luhut-minta-pemerintahan-bumn-tak-pakai-produk-impor-untuk-goodie-bag,1
 Jokowi di Depan Menteri hingga Gubernur: Pusat dan Daerah Harus Kompak!,"Jakarta - Presiden Jokowi memperingatkan para kepala daerah akan gelapnya situasi ekonomi tahun depan. Inflasi adalah momok dunia termasuk Indonesia. Untuk menghadapi momok itu semuanya harus bersatu. ""Oleh sebab itu kita harus kompak harus bersatu dari pusat provinsi kabupaten kota sampai ke bawah"" kata Jokowi dari mimbar pengarahan jajaran pemerintah daerah di JCC Senayan Jakarta Kamis (29/9/2022)..""",https://news.detik.com/berita/d-6319238/jokowi-di-depan-menteri-hingga-gubernur-pusat-dan-daerah-harus-kompak,1
 UU Perlindungan Data Pribadi Disetujui.Pakar UGM Beri Saran Ini,"Jakarta - Setelah 10 tahun dirancang Rancangan Undang-undang (RUU) Perlindungan Data Pribadi (PDP) akhirnya disahkan oleh DPR dan Presiden Jokowi pada 20 September lalu. Adanya UU PDP ini diharapkan bisa menjadi solusi untuk kebocoran data. Kehadiran UU perlindungan data ini ke depannya bisa menjadi instrumen hukum untuk mengatur secara spesifik perlindungan data pribadi. Belakangan ini tengah marak terjadi kebocoran data pribadi yang justru berasal dari lembaga pemerintah. Faiz menyampaikan apresiasinya karena Indonesia akhirnya memiliki landasan hukum sebagai perlindungan data pribadi kendati menyayangkan pengesahan UU ini terkesan terlambat. ""Di tingkat UU sudah ada 120 negara di dunia memiliki UU PDP. Kita mungkin masuk ke-127. Di ASEAN sendiri kita berada di urutan kelima setelah Malaysia Singapura Filipina dan Thailand"" jelas Faiz. """, https://www.detik.com/edu/detikpedia/d-6316932/uu-perlindungan-data-pribadi-disetujui-pakar-ugm-beri-saran-ini,1
Beda Pernyataan Pejabat Pemerintah soal Kebocoran Data Negara,"Jakarta - Isu kebocoran data pemerintah menjadi pembicaraan serius dalam beberapa hari terakhir usai kemunculan hacker Bjorka. Sejumlah pejabat menyampaikan pernyataan berbeda mengenai isu kebocoran data ini. Awalnya isu kebocoran data negara ini ramai dibahas warganet setelah hacker Bjorka mengklaim telah mempunyai surat-surat yang ditujukan ke Presiden Jokowi. Kabar ini ramai dibahas di Twitter salah satu akun Twitter memposting tangkapan layar dari sebuah forum internet. Dalam screenshot tersebut ditampilkan akun bernama Bjorka yang mengklaim mempunyai surat dan dokumen untuk presiden dalam periode 2019-2021. Akun itu mengklaim dokumen yang dibobolnya itu termasuk koleksi surat-surat dari BIN yang berlabel rahasia. """,https://news.detik.com/berita/d-6287039/beda-pernyataan-pejabat-pemerintah-soal-kebocoran-data-negara,1
"Pendataan KJP Plus Tahap 2 Dibuka, Siswa Sudah Terdaftar?"," Unit Pelaksana Teknis (UPT): Pengertian Fungsi dan Tugas Jakarta - Pendataan Kartu Jakarta Pintar Plus (KJP Plus) tahap 2 kembali dibuka. Melalui Instagram resmi Dinas Pendidikan DKI Jakarta pemerintah memberikan sejumlah informasi terkait timeline hingga besar dana yang didapat. sebelumnya KJP Plus tahap 1 telah diberikan kepada 849.170 peserta didik. Pencairan dana bantuan tahap 1 telah dilakukan pada Selasa (9/8/2022).""",https://www.detik.com/edu/sekolah/d-6245857/pendataan-kjp-plus-tahap-2-dibuka-siswa-sudah-terdaftar,1
 Unit Pelaksana Teknis (UPT): Pengertian Fungsi dan Tugas," Jakarta - Pendataan Kartu Jakarta Pintar Plus (KJP Plus) tahap 2 kembali dibuka. Melalui Instagram resmi Dinas Pendidikan DKI Jakarta pemerintah memberikan sejumlah informasi terkait timeline hingga besar dana yang didapat. sebelumnya KJP Plus tahap 1 telah diberikan kepada 849.170 peserta didik. Pencairan dana bantuan tahap 1 telah dilakukan pada Selasa (9/8/2022).""",https://www.detik.com/edu/detikpedia/d-6244543/unit-pelaksana-teknis-upt-pengertian-fungsi-dan-tugas,1
"Jokowi Usul Anggaran Rp 3.000 T Tahun 2023, Buat Apa Saja?","  Jakarta - UPT atau Unit Pelaksana Teknis adalah satuan kerja atau organisasi bersifat mandiri yang melaksanakan tugas teknis operasional tertentu dan/atau tugas teknis penunjang tertentu dari organisasi induk. Penjelasan tersebut sebagaimana dijelaskan dalam Peraturan Menteri Negara Pendayagunaan Aparatur Negara Nomor PER/18/M.Pan/11/2008 Tentang Pedoman Organisasi Unit Pelaksana Teknis Kementerian dan Lembaga Pemerintah Non Kementerian.""",https://finance.detik.com/detiktv/d-6238318/jokowi-usul-anggaran-rp-3000-t-tahun-2023-buat-apa-saj,1
"5 Kesalahpahaman dalam Implementasi Kurikulum Merdeka, Catat Ya!"," Jakarta - Kurikulum Merdeka telah diluncurkan oleh pemerintah sejak Februari 202 lalu. Dalam implementasinya kurikulum ini berfokus pada materi yang esensial dan pengembangan karakter Profil Pelajar Pancasila. Meski beberapa sekolah sudah menerapkan Kurikulum Merdeka namun masih banyak miskonsepsi atau kesalahpahaman terkait pelaksanaannya.  Dalam hal ini Kementerian Pendidikan Kebudayaan Riset dan Teknologi (Kemendikbudristek) meluruskan beberapa miskonsepsi yang kerap muncul. Dikutip dari Instagram resmi Direktorat SMP Kemendikbudristek pada Selasa (2/8/2022) berikut 5 miskonsepsi pada Kurikulum Merdeka. Sekolah Punya 3 Opsi Kemdikbud: Kurikulum Merdeka Tidak Boleh Dipaksakan 5 Miskonsepsi dalam Implementasi Kurikulum Merdeka: 1. Ganti Kurikulum Adalah Tujuan Miskonsepsi ini paling sering terjadi. Banyak yang menganggap dengan mengganti kurikulum berarti jadi tujuan. Padahal yang ditekankan adalah bagaimana melihat Kurikulum Merdeka sebagai alat untuk mencapai tujuan pemulihan pembelajaran. 2. Terdapat Penerapan Kurikulum Merdeka yang Benar atau Salah Secara Absolut Banyak yang memiliki persepsi tentang penerapan Kurikulum Merdeka yang benar ataupun salah secara absolut. Padahal setiap satuan pendidikan mempunyai karakteristik yang berbeda sehingga Kurikulum Merdeka pada satu sekolah tidak akan sama dengan sekolah lainnya. Dengan itu benar atau salahnya penerapan Kurikulum Merdeka bukanlah absolut melainkan kontekstual. 3. Harus Menunggu Pelatihan dari Pusat Miskonsepsi yang ketiga yaitu harus menunggu pelatihan dari pusat. Padahal dalam implementasi Kurikulum Merdeka satuan pendidikan dan jugaguru dapat mengambil inisiatif untuk mengembangkan kapasitasnya secara mandiri. 4. Proses Instan Banyak yang berpikiran bahwa dalam proses belajar mengimplementasikan Kurikulum Merdeka bisa dilakukan secara instan. Padahal tidak ada proses belajar yang instan terlebih lagi untuk hal yang sekopleks penerapan kurikulum baru dalam mengubah cara mengajar di dalam kelas. 5. Hanya Bisa Diimplementasikan di Sekolah dengan Fasilitas Lengkap Implementasi Kurikulum Merdeka tidak hanya berlaku pada sekolah dengan fasilitas lengkap. Padahal Kurikulum Merdeka adalah kurikulum yang fleksibel dan dapat dioperasionalkan sesuai dengan kebutuhan di sekolah mana saja termasuk sekolah dengan fasilitas minim. """,https://www.detik.com/edu/sekolah/d-6212862/5-kesalahpahaman-dalam-implementasi-kurikulum-merdeka-catat-ya,1
Pemerintah-DPR Didesak Segera Kucurkan Dana Pemilu,"Direktur Parameter Politik Indonesia Adi Prayitno mendesak pemerintah dan DPR segera mencairkan dana pemilu. Adi beranggapan jika dana tersendat dan tidak disalurkan seluruhnya akan menghambat proses demi proses yang dijalankan KPU.""",https://news.detik.com/detiktv/d-6207853/pemerintah-dpr-didesak-segera-kucurkan-dana-pemilu          ,1
Puasa Arafah Ikut Momen Wukuf di Arab atau Hasil Sidang Isbat?,Penetapan hari Arafah di Arab Saudi dan Indonesia berbeda. Hal ini mungkin membingungkan sebagian muslim untuk acuan dalam memulai puasa Arafah., https://www.detik.com/edu/detikpedia/d-6169124/puasa-arafah-ikut-momen-wukuf-di-arab-atau-hasil-sidang-isbat,1
Pemerintah Lempar 'Bola Panas' Urusan Buka Draf RKUHP untuk Publik ke DPR,"  Jakarta - Kementerian Hukum dan HAM (Kemenkumham) menyerahkan draf Rancangan Kitab Undang-Undang Hukum Pidana (RKUHP) kepada Komisi III DPR. Penyerahan draf RKUHP dilakukan di ruang Komisi III DPR hari ini. Wamenkumham Edward OS Hiariej atau Eddy berbicara soal desakan draf RKUHP dibuka ke publik. Eddy mengatakan pihaknya telah menyerahkan draf yang telah disempurnakan pemerintah kepada DPR. Menurut dia draf itu nantinya dibahas oleh tiap fraksi lebih lanjut. ""Sudah saya serahkan secara resmi ke Komisi III. Jadi kita sudah serahkan draf Komisi III akan serahkan ke fraksi-fraksi melakukan pembahasan terhadap hasil penyempurnaan dari pemerintah"" kata Eddy seusai penyerahan draf RKUHP ke Komisi III DPR di gedung DPR Senayan Jakarta Draf Final RKUHP: Hina DPR Kejaksaan Polri dan Pemda Dipenjara 18 Bulan! Eddy mengatakan draf RKUHP pasti dibuka ke publik sebelum disahkan di rapat paripurna. Eddy mengatakan DPR yang bakal membuka draf itu ke publik. ""Nggak mungkin disahkan sebelum dibuka to. Jadi kan di DPR yang kemudian DPR yang membuka ini hasil penyempurnaan pemerintah"" ujar dia. Anggota Komisi III DPR Fraksi PPP Arsul Sani mengatakan pihaknya masih akan berdiskusi soal kapan draf RKUHP itu dapat dibuka ke publik. ""Kan baru hari ini diserahkan. Nanti setelah diserahkan itu publik bisa mengakses atau tidak itu disimpulkan lagi. Nanti kita lihat"" ujar Arsul Meski demikian Arsul mendorong agar draf RKUHP segera dibuka ke publik. Dia mengatakan banyak isu krusial yang perlu masukan publik. ""Tapi kalau saya mewakili Fraksi PPP ingin berketetapan agar rapat itu (pembahasan terkait 14 isu krusial di RKUHP terbaru) terbuka. Kemudian draf itu yang akan kita pergunakan itu juga bisa diakses oleh publik"" katanya. Sebelumnya Eddy telah menyerahkan draf RKUHP dan diterima oleh pimpinan Komisi III DPR secara simbolis. ""Komisi III DPR RI menerima naskah RUU tentang KUHP dan RUU tentang permasyarakatan yang telah disempurnakan"" kata Wakil Ketua Komisi III DPR Pangeran Khairul Saleh selaku pimpinan rapat. Pangeran mengatakan Komisi III DPR akan membahas draf tersebut secara internal untuk kemudian dibahas di secara terbuka termasuk 14 isu krusial yang mendapat sorotan masyarakat. ""Komisi III DPR dan pemerintah untuk menyelesaikan RUU tentang KUHP khususnya terkait dengan 14 isu krusial RUU KUHP sebelum diserahkan ke pembicaraan tingkat selanjutnya"" kata Pangeran. ""Komisi III DPR dan pemerintah bersepakat untuk menyelesaikan RUU tentang pemasyarakatan untuk diserahkan ke pembicaraan tingkat selanjutnya sesuai dengan mekanisme perundang-undangan"" imbuhnya. """,https://news.detik.com/berita/d-6165075/pemerintah-lempar-bola-panas-urusan-buka-draf-rkuhp-untuk-publik-ke-dpr,1
"Muncul Usulan Wartawan Dapat Tunjangan Pemerintah, PWI Menolak!",Pengurus Persatuan Wartawan Indonesia (PWI) Pusat menolak usulan wartawan yang telah dinyatakan kompeten mendapatkan gaji atau tunjangan dari pemerintah.,https://news.detik.com/berita/d-6158375/muncul-usulan-wartawan-dapat-tunjangan-pemerintah-pwi-menolak,1
"Sri Mulyani Akhirnya Bayar Utang ke Pertamina Rp 64,5 T",Pertamina telah menerima pembayaran dari pemerintah atas kompensasi penyaluran BBM dan LPG Subsidi yang telah dilakukan pada tahun 2021 sebesar Rp 64.5 triliun.Jakarta - Pertamina telah menerima pembayaran dari pemerintah atas kompensasi penyaluran BBM dan LPG Subsidi yang telah dilakukan pada tahun 2021 sebesar Rp 64.5 triliun pada hari ini Per April 2022 lalu pemerintah telah membayarkan kompensasi sebesar Rp 29 triliun sehingga secara keseluruhan sepanjang 2022 total pembayaran subsidi dan kompensasi untuk periode hingga 2021 yang telah dibayarkan Pemerintah kepada Pertamina sebesar Rp 93.5 triliun Direktur Utama PT Pertamina (Persero) Nicke Widyawati menyampaikan pembayaran tersebut akan berdampak positif pada keuangan Pertamina dalam menjaga ketahanan energi nasional. ,https://finance.detik.com/energi/d-6156901/sri-mulyani-akhirnya-bayar-utang-ke-pertamina-rp-645-t,1
"KM ITB: Buka Draf RKUHP, Tinjau Ulang Pasal Bermasalah!",KM ITB mengkritik RKUHP yang memuat pasal problematik sekaligus proses legislasinya yang tidak transparan. Maka KM ITB meminta agar RKUHP ditinjau ulang.Jakarta - Keluarga Mahasiswa Institut Teknologi Bandung (KM ITB) mengkritik Rancangan Kitab Undang-Undang Hukum Pidana (RKUHP) yang memuat pasal problematik sekaligus proses legislasinya yang tidak transparan. Maka KM ITB meminta agar RKUHP ditinjau ulang dan tidak buru-buru disahkan. Pernyataan sikap KM ITB ditandatangani Ketua Kabinet KM ITB Rommy Adany Putra Afaulyn diterima detikcom pada Selasa (28/6/2022).,https://news.detik.com/berita/d-6151612/km-itb-buka-draf-rkuhp-tinjau-ulang-pasal-bermasalah,1
Pemerintah Ganti Rp 10 Juta Per Sapi yang Dimusnahkan Gegara PMK," Penyelenggaraan Pemerintahan yang Tidak Transparan: Ciri dan Dampaknya Kemenag Luncurkan Aturan Penanganan Kekerasan Seksual Pakar Hukum Unair Sampaikan Kemenag Ajak Umat Islam Salat Khusuf saat Gerhana Bulan Total 8 November Kemenag Imbau Warga Aceh Tak Kaitkan Gerhana Bulan Total dengan Musibah.""",https://news.detik.com/berita/d-6142978/pemerintah-ganti-rp-10-juta-per-sapi-yang-dimusnahkan-gegara-pmk,1
RKUHP: Hina Pemerintah di Medsos Dipenjara 4 Tahun!," Solo - Pemerintah sepertinya akan semakin tegas dalam menindak siapapun yang melakukan penghinaan terhadapnya. Aturan tegas ini terdapat dalam rancangan KUHP yang akan disahkan oleh Pemerintah dan DPR dalam waktu dekat ini.   Seperti dikutip dari detikNews pemerintah dan DPR berencana mengesahkan Rancangan KUHP bulan depan. Salah satunya berisi mengenai ancaman bagi masyarakat yang menghina pemerintah! Aturan tersebut tertuang dalam Pasal 240. Berikut ini bunyi draf Rancangan KUHP yang didapatkan wartawan dari Kemenkumham sebagaimana dikutip detikcom. Setiap Orang yang di muka umum melakukan penghinaan terhadap pemerintah yang sah yang berakibat terjadinya kerusuhan dalam masyarakat dipidana dengan pidana penjara paling lama 3 (tiga) tahun atau pidana denda paling banyak kategori IV.  Yang termasuk kategori kerusuhan ""Yang dimaksud dengan 'keonaran' adalah suatu tindakan kekerasan yang dilakukan oleh sekelompok orang (anarkis) yang menimbulkan keributan kerusuhan kekacauan dan huru-hara"" demikian bunyi penjelasan Pasal 240 Rancangan KUHP itu."" ",https://www.detik.com/jateng/hukum-dan-kriminal/d-6128227/rkuhp-hina-pemerintah-di-medsos-dipenjara-4-tahun,1
